Cars,What is General Motors' luxury brand?,Cadillac,100
Cars,Which American car company produces the most electric vehicles?,Tesla,200
Cars,Who is the most popular Japanese car brand?,Toyota,300
Cars,What was the line of vehicles that sold the most in 2021?, Ford F-Series,400
Cars,What is the name of the vehicle that is commonly known as the Hippie Bus?,VW Bus,500
Cars,What does the abreviation BMW mean?,Bavarian Motor Works,600
Cars,What was the first mass produced car?,Ford Model T,700
Cars,Who is the oldest American car manufacturer?,Cadillac,800
Cars,Who is the oldest car manufacturer?,Mercedes Benz,900
Cars,What was the only car soviets were allowed to buy in soviet union?Lada,1000
