Pro Wrestlers,What Pro Wrestler has the catchphrase "You can't see me"?,John Cena,100
Pro Wrestlers,What Pro Wrestler is known for raising his right eyebrow?,Dwayne "The Rock" Johnson, 200
Pro Wrestlers,What Pro Wrestler plays the character "Drax The Destroyer" in Marvel's Guardians of the galaxy?,Dave Bautista,300
Pro Wrestlers,What Pro Wrestler won the UFC Heavyweight championship in November of 2009?,Brock Lesnar,400
Pro Wrestlers,What Pro Wrestler has had the nicknames "Lion Heart" and "Y2J"?,Chris Jericho,500
Pro Wrestlers,What was WWE wrestler Big Show's ring name in WCW?,The Giant?, 600
Pro Wrestlers,What Strongman event did WWE wrestler Mark Henry win?,Arnold Strongman Classic,700
Pro Wrestlers, What was the ring name of WWE wrestler Seth Rollins prior to joining WWE?,Tyler Black,800
Pro Wrestlers, What Pro Wrestler had a WWWF title reign of 2803 Days?,Bruno Sammartino,900
Pro Wrestlers, What Pro Wrestler was arrested for robbing a bank in December of 2010?,Nick Gage,1000
