World Geography,Where are the Pyramids of Giza located?,Egypt,100
World Geography,Which river is the longest in the world?,Nile,200
World Geography,Which desert is the largest in the world?,Sahara,300
World Geography,What is the name of the smallest country in the world?,Vatican,400
World Geography,Where is the Panama Canal located,Panama,500
World Geography,What is the first state of the United States?,Delaware,600
World Geography,Name the capital city of Switzerland,Bern,700
World Geography,Which of the 5 oceans is the deepest?,Pacific,800
World Geography,What is the capital of Australia?,Canberra,900
World Geography,Which tunnel system lies under Paris France?,Catacombs,1000
World Geography,Which country does not have a rectangular flag?,Nepal,1100
World Geography,Which country's capital is named Manila,Philippines,1200
